                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.6251,                 1.1293,                 1.1642,                0.69202,                0.59928,                0.70282,                0.28807,                 2.0574,                 1.4141,                 1.4712,              0.0097822,              0.0097822,              0.0097822
                     36,                 1.5893,                 1.1124,                 1.1619,                0.67957,                0.57075,                0.66284,                0.27373,                 2.0576,                 1.4084,                 1.4659,              0.0097756,              0.0097756,              0.0097756
                     37,                 1.6505,                 1.1354,                 1.1846,                0.67159,                0.61057,                0.68976,                0.26834,                 2.1368,                 1.4337,                 1.5005,               0.009769,               0.009769,               0.009769
                     38,                 1.5757,                 1.0829,                  1.157,                0.67629,                0.61002,                0.65246,                0.24786,                 2.1453,                 1.4928,                 1.5298,              0.0097624,              0.0097624,              0.0097624
                     39,                 1.6062,                 1.0986,                 1.1617,                0.75375,                0.65045,                0.69635,                0.27159,                 2.1101,                  1.278,                 1.4899,              0.0097558,              0.0097558,              0.0097558
                     40,                 1.5875,                 1.0773,                 1.1617,                0.77063,                 0.6592,                0.72569,                0.29667,                 2.0687,                 1.2145,                 1.4776,              0.0097492,              0.0097492,              0.0097492
                     41,                 1.5796,                 1.0534,                 1.1648,                0.69053,                0.57789,                0.64481,                 0.2518,                 2.1653,                  1.431,                 1.5129,              0.0097426,              0.0097426,              0.0097426
                     42,                 1.5615,                 1.0187,                 1.1599,                0.68591,                0.56008,                0.60496,                0.22725,                 2.2861,                 1.4862,                 1.5665,               0.009736,               0.009736,               0.009736
                     43,                  1.575,                 1.0456,                 1.1602,                0.72564,                0.58833,                0.62945,                0.23618,                 2.2342,                  1.427,                 1.5446,              0.0097294,              0.0097294,              0.0097294
                     44,                 1.5596,                 1.0391,                 1.1437,                0.81154,                0.67922,                0.74732,                0.31257,                 2.0495,                  1.231,                 1.4416,              0.0097228,              0.0097228,              0.0097228
                     45,                 1.5387,                 1.0014,                 1.1322,                0.78934,                0.70551,                0.79062,                0.33248,                 2.0062,                 1.2661,                 1.4062,              0.0097162,              0.0097162,              0.0097162
                     46,                 1.5323,                 1.0127,                 1.1387,                0.79329,                0.65662,                0.74856,                0.32062,                 2.0289,                 1.3133,                 1.4392,              0.0097096,              0.0097096,              0.0097096
                     47,                 1.5116,                0.98821,                 1.1323,                   0.77,                0.70863,                0.78022,                0.33476,                 2.0034,                 1.1363,                  1.443,               0.009703,               0.009703,               0.009703
                     48,                 1.5252,                0.97113,                 1.1369,                0.75669,                0.62761,                0.71811,                0.30453,                 2.0479,                 1.3623,                 1.4419,              0.0096964,              0.0096964,              0.0096964
                     49,                 1.5225,                0.98296,                 1.1358,                0.76394,                0.62858,                0.69266,                0.28572,                 2.1345,                 1.2498,                 1.5327,              0.0096898,              0.0096898,              0.0096898
                     50,                 1.5286,                0.96025,                 1.1366,                 0.6862,                0.62568,                 0.6712,                0.26077,                 2.2259,                 1.2333,                 1.6455,              0.0096832,              0.0096832,              0.0096832
                     51,                 1.5601,                0.97886,                 1.1552,                0.78657,                0.67639,                0.75367,                0.29404,                 2.1212,                   1.17,                 1.5602,              0.0096766,              0.0096766,              0.0096766
                     52,                 1.5461,                0.95433,                 1.1439,                0.79158,                0.67282,                0.76293,                0.31924,                 2.0391,                 1.1957,                 1.4695,                0.00967,                0.00967,                0.00967
                     53,                 1.5108,                 0.9407,                 1.1222,                0.81451,                0.71236,                0.78709,                0.32524,                 2.0956,                  1.124,                 1.4872,              0.0096634,              0.0096634,              0.0096634
                     54,                 1.5286,                0.93252,                 1.1231,                0.83418,                0.70159,                0.79108,                0.33436,                 2.0123,                 1.2254,                 1.4242,              0.0096568,              0.0096568,              0.0096568
                     55,                 1.4432,                 0.9133,                 1.1051,                0.81087,                0.73538,                0.79591,                0.34663,                 1.9878,                 1.0672,                  1.413,              0.0096502,              0.0096502,              0.0096502
                     56,                 1.4924,                0.91347,                 1.1101,                0.79481,                0.69725,                0.76787,                0.32618,                  2.028,                 1.1827,                 1.4422,              0.0096436,              0.0096436,              0.0096436
                     57,                 1.4955,                0.92042,                 1.1135,                0.80219,                0.61876,                0.70406,                0.29977,                 2.0565,                 1.3845,                 1.4378,               0.009637,               0.009637,               0.009637
                     58,                 1.4996,                0.91062,                 1.1208,                0.77242,                0.70298,                0.75777,                0.31835,                 2.0286,                 1.1696,                  1.426,              0.0096304,              0.0096304,              0.0096304
                     59,                 1.5081,                0.91919,                 1.1209,                0.83687,                0.70441,                0.79661,                 0.3296,                 2.0475,                 1.1095,                 1.4614,              0.0096238,              0.0096238,              0.0096238
                     60,                 1.4755,                0.90472,                 1.1217,                0.79151,                0.69055,                0.75412,                0.30152,                 2.0839,                 1.1442,                 1.4658,              0.0096172,              0.0096172,              0.0096172
                     61,                 1.4979,                0.90668,                 1.1224,                0.77359,                0.64735,                0.73963,                0.31369,                 2.0348,                 1.3867,                 1.4311,              0.0096106,              0.0096106,              0.0096106
                     62,                 1.4709,                0.90788,                 1.1172,                0.77144,                0.63714,                  0.688,                0.27978,                 2.1846,                 1.3461,                 1.5515,               0.009604,               0.009604,               0.009604
                     63,                 1.4682,                0.88908,                 1.1089,                0.75531,                0.67657,                0.72059,                0.29885,                 2.1415,                 1.1855,                 1.5235,              0.0095974,              0.0095974,              0.0095974
                     64,                 1.4538,                0.86558,                 1.1136,                0.84167,                0.70376,                0.78976,                0.34361,                 2.0031,                 1.1105,                 1.4258,              0.0095908,              0.0095908,              0.0095908
                     65,                 1.4603,                 0.8915,                 1.1097,                 0.8274,                0.70019,                0.76275,                0.32982,                 1.9979,                 1.1734,                 1.4249,              0.0095842,              0.0095842,              0.0095842
                     66,                 1.4759,                0.87292,                 1.1081,                0.84199,                0.72321,                0.77791,                   0.33,                 2.0336,                 1.1248,                 1.4535,              0.0095776,              0.0095776,              0.0095776
                     67,                 1.4915,                0.85414,                  1.127,                0.82423,                0.71388,                0.77017,                0.32256,                 2.0427,                  1.059,                 1.4609,               0.009571,               0.009571,               0.009571
                     68,                 1.4236,                0.82711,                 1.0939,                0.81105,                0.67884,                0.76331,                0.33265,                 1.9982,                  1.135,                 1.4084,              0.0095644,              0.0095644,              0.0095644
                     69,                 1.4462,                0.86821,                 1.1126,                0.78947,                0.62697,                0.68598,                0.28178,                 2.1164,                 1.2159,                 1.4844,              0.0095578,              0.0095578,              0.0095578
                     70,                 1.4886,                0.86271,                 1.0964,                0.75965,                 0.6748,                0.72762,                0.30244,                   2.07,                   1.17,                 1.4463,              0.0095512,              0.0095512,              0.0095512
                     71,                   1.44,                0.84933,                 1.1064,                0.80346,                0.65193,                0.72959,                0.30024,                 2.0694,                 1.1515,                 1.4498,              0.0095446,              0.0095446,              0.0095446
                     72,                 1.4367,                0.84918,                 1.0943,                0.75974,                0.57084,                0.65056,                0.26375,                 2.1251,                 1.4021,                 1.4789,               0.009538,               0.009538,               0.009538
