                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1898,                0.56527,                0.94961,                0.84321,                0.79228,                0.82277,                0.35896,                 1.9054,                0.92789,                 1.2822,              0.0097822,              0.0097822,              0.0097822
                     36,                 1.1979,                0.57548,                0.96235,                0.79279,                0.74906,                0.76969,                0.32847,                 2.0637,                 1.0056,                 1.3344,              0.0097756,              0.0097756,              0.0097756
                     37,                 1.1896,                 0.5551,                0.95937,                0.84813,                0.75991,                0.79802,                0.35136,                 1.9495,                 1.0136,                 1.2869,               0.009769,               0.009769,               0.009769
                     38,                 1.1622,                0.54929,                 0.9456,                0.83128,                0.76889,                0.79605,                0.34884,                 1.9561,                0.99667,                 1.3032,              0.0097624,              0.0097624,              0.0097624
                     39,                 1.1463,                0.54349,                0.95171,                0.80155,                0.72695,                0.78799,                0.33675,                 1.9498,                0.97227,                 1.3227,              0.0097558,              0.0097558,              0.0097558
                     40,                  1.152,                0.54745,                0.94291,                0.79239,                0.76671,                0.78123,                0.33941,                 2.0164,                0.93656,                 1.3445,              0.0097492,              0.0097492,              0.0097492
                     41,                 1.1324,                  0.529,                0.93518,                0.82391,                0.73969,                0.79378,                0.34468,                 1.9715,                  1.008,                  1.314,              0.0097426,              0.0097426,              0.0097426
                     42,                 1.1417,                0.52975,                0.93903,                0.84711,                0.76434,                0.80838,                0.34182,                 1.9907,                 1.0188,                 1.3311,               0.009736,               0.009736,               0.009736
                     43,                 1.1227,                0.53597,                0.93478,                0.85102,                0.78212,                0.83379,                 0.3657,                 1.8741,                 0.9009,                 1.2695,              0.0097294,              0.0097294,              0.0097294
                     44,                 1.1065,                0.52241,                0.92959,                0.83775,                0.76358,                0.78918,                0.35067,                 1.9675,                0.93905,                 1.3051,              0.0097228,              0.0097228,              0.0097228
                     45,                 1.1211,                0.52936,                0.92884,                0.83336,                0.78568,                 0.8121,                0.36319,                 1.9144,                0.91178,                 1.3084,              0.0097162,              0.0097162,              0.0097162
                     46,                 1.0947,                0.51735,                0.92345,                 0.8332,                0.78326,                0.80353,                0.34561,                 1.9976,                0.91382,                 1.3136,              0.0097096,              0.0097096,              0.0097096
                     47,                 1.0777,                0.50352,                0.92192,                0.83426,                 0.8021,                0.82667,                0.37448,                 1.9141,                0.88879,                 1.2991,               0.009703,               0.009703,               0.009703
                     48,                  1.089,                0.51423,                0.92856,                0.86268,                0.76477,                0.81941,                0.36104,                 1.9132,                0.88315,                 1.2903,              0.0096964,              0.0096964,              0.0096964
                     49,                 1.0651,                0.50009,                0.91567,                0.86038,                0.78686,                0.82555,                0.37587,                 1.8501,                0.82816,                 1.2706,              0.0096898,              0.0096898,              0.0096898
                     50,                  1.062,                0.49813,                0.91179,                0.85605,                0.82636,                0.85426,                0.37833,                 1.8539,                  0.821,                 1.2767,              0.0096832,              0.0096832,              0.0096832
                     51,                 1.0452,                0.49737,                 0.9079,                0.85577,                0.79691,                0.84011,                0.37558,                 1.9097,                0.91443,                 1.2999,              0.0096766,              0.0096766,              0.0096766
                     52,                 1.0192,                0.49962,                0.90529,                0.85937,                0.79135,                0.83303,                0.37796,                  1.884,                0.89333,                 1.3119,                0.00967,                0.00967,                0.00967
                     53,                 1.0349,                0.48601,                0.90461,                0.84276,                0.80345,                0.83794,                0.37529,                 1.8932,                0.88599,                 1.3188,              0.0096634,              0.0096634,              0.0096634
                     54,                 1.0377,                0.49193,                0.90939,                0.86299,                0.80215,                0.83644,                0.37229,                 1.9109,                0.89782,                 1.3061,              0.0096568,              0.0096568,              0.0096568
                     55,                 1.0337,                 0.4954,                0.90237,                0.83882,                0.77208,                0.81533,                0.35478,                 1.9909,                0.91134,                 1.3601,              0.0096502,              0.0096502,              0.0096502
                     56,                 1.0223,                0.48696,                0.90756,                0.82387,                0.76535,                0.81262,                0.35974,                 1.9445,                0.89309,                 1.3229,              0.0096436,              0.0096436,              0.0096436
                     57,                 1.0287,                0.48229,                0.90104,                0.85923,                0.76046,                0.82544,                0.37125,                 1.9254,                 0.9319,                 1.3196,               0.009637,               0.009637,               0.009637
                     58,                 1.0064,                0.47306,                 0.9028,                0.84666,                0.75378,                0.81148,                0.35481,                 1.9543,                0.97867,                 1.3282,              0.0096304,              0.0096304,              0.0096304
                     59,                0.99761,                0.47448,                0.89478,                0.84121,                0.79111,                0.83506,                0.37416,                 1.9411,                0.88802,                 1.3266,              0.0096238,              0.0096238,              0.0096238
                     60,                0.99512,                0.47337,                 0.8965,                0.87622,                0.77909,                0.81842,                0.36855,                 1.9512,                0.88729,                 1.3505,              0.0096172,              0.0096172,              0.0096172
                     61,                 0.9707,                0.47543,                0.89248,                0.87059,                0.79025,                0.82889,                0.37672,                 1.9092,                0.87112,                 1.3296,              0.0096106,              0.0096106,              0.0096106
                     62,                0.98833,                0.47017,                0.89435,                0.85386,                0.78261,                0.81712,                0.37291,                 1.8892,                0.88007,                 1.3172,               0.009604,               0.009604,               0.009604
                     63,                0.99104,                 0.4778,                0.89334,                0.85269,                0.79388,                0.82121,                0.36689,                 1.9442,                 0.9046,                 1.3553,              0.0095974,              0.0095974,              0.0095974
                     64,                0.98027,                0.47091,                0.89292,                0.85746,                0.80183,                0.83124,                0.36943,                 1.8739,                0.88886,                 1.2954,              0.0095908,              0.0095908,              0.0095908
                     65,                0.96665,                0.46195,                0.88692,                0.86376,                0.79416,                 0.8326,                0.37835,                 1.9005,                0.86769,                 1.3052,              0.0095842,              0.0095842,              0.0095842
                     66,                0.94696,                 0.4574,                0.88001,                 0.8533,                0.81101,                0.83861,                0.37723,                 1.9029,                 0.8923,                 1.3141,              0.0095776,              0.0095776,              0.0095776
                     67,                 0.9641,                 0.4664,                0.88702,                0.86169,                0.75032,                0.80608,                0.35123,                 2.0083,                0.98489,                 1.3582,               0.009571,               0.009571,               0.009571
                     68,                0.94506,                0.45109,                0.88349,                0.88286,                0.79033,                0.83064,                0.37209,                 1.9145,                0.90661,                 1.3244,              0.0095644,              0.0095644,              0.0095644
                     69,                0.92669,                0.44502,                 0.8816,                0.86675,                0.80893,                0.83698,                0.37534,                 1.9235,                0.87255,                  1.325,              0.0095578,              0.0095578,              0.0095578
                     70,                0.93897,                 0.4484,                0.87976,                0.83539,                0.76065,                0.79463,                0.34423,                 2.0751,                0.93112,                 1.3882,              0.0095512,              0.0095512,              0.0095512
                     71,                0.93581,                0.45282,                0.87948,                0.85642,                0.78742,                0.82934,                0.36571,                 1.9448,                0.93415,                  1.332,              0.0095446,              0.0095446,              0.0095446
                     72,                0.92595,                0.44265,                0.87542,                0.87809,                0.77258,                0.82102,                0.36617,                 1.9794,                0.91928,                 1.3469,               0.009538,               0.009538,               0.009538
                     73,                 0.9226,                0.44626,                0.88008,                0.84173,                0.81713,                0.84821,                0.37681,                 1.9382,                0.88325,                 1.3247,              0.0095314,              0.0095314,              0.0095314
                     74,                 0.9376,                0.45368,                0.87872,                0.86285,                0.79916,                0.84072,                0.37345,                 1.9388,                0.87433,                 1.3458,              0.0095248,              0.0095248,              0.0095248
                     75,                0.93461,                0.44755,                0.87659,                0.85334,                0.80564,                0.83017,                0.36498,                  1.917,                0.89233,                 1.3395,              0.0095182,              0.0095182,              0.0095182
                     76,                0.92171,                0.44847,                0.87249,                0.84237,                0.79976,                0.82254,                0.36764,                  1.944,                0.91413,                 1.3442,              0.0095116,              0.0095116,              0.0095116
                     77,                0.88836,                0.46794,                0.86641,                0.84641,                 0.7798,                0.81629,                0.35632,                 1.9882,                0.92642,                 1.3749,               0.009505,               0.009505,               0.009505
                     78,                 0.9057,                0.44612,                0.87515,                0.84663,                0.81679,                0.82733,                0.36651,                  1.961,                0.93992,                 1.3463,              0.0094984,              0.0094984,              0.0094984
                     79,                0.91426,                0.43998,                0.88091,                0.87215,                0.80445,                 0.8499,                0.37317,                 1.9108,                0.95944,                 1.3225,              0.0094918,              0.0094918,              0.0094918
                     80,                0.92576,                0.45203,                0.87696,                0.85539,                0.81469,                0.84591,                0.37547,                 1.9403,                0.94391,                 1.3351,              0.0094852,              0.0094852,              0.0094852
                     81,                0.89504,                0.43026,                0.87114,                0.85577,                0.81381,                0.85001,                 0.3787,                 1.9301,                0.95552,                 1.3475,              0.0094786,              0.0094786,              0.0094786
                     82,                0.87111,                0.42074,                0.86827,                0.85446,                0.82011,                0.85285,                0.39166,                 1.9169,                0.89538,                 1.3302,               0.009472,               0.009472,               0.009472
                     83,                0.88711,                0.43042,                 0.8689,                0.86361,                0.79311,                0.84016,                 0.4006,                 1.8756,                0.87397,                 1.3286,              0.0094654,              0.0094654,              0.0094654
                     84,                0.88327,                0.42725,                0.86988,                0.84852,                0.79081,                 0.8289,                0.38896,                 1.8912,                0.99075,                 1.3512,              0.0094588,              0.0094588,              0.0094588
                     85,                0.87168,                0.43129,                0.87131,                0.82304,                0.78208,                0.81403,                0.35938,                 2.0257,                 1.0513,                 1.3952,              0.0094522,              0.0094522,              0.0094522
                     86,                   0.87,                0.42315,                0.86371,                0.85492,                0.77875,                0.82705,                0.37963,                 1.9339,                0.93774,                 1.3643,              0.0094456,              0.0094456,              0.0094456
                     87,                0.87309,                 0.4186,                 0.8681,                0.86686,                0.78071,                0.82582,                0.37095,                 1.9425,                0.93282,                 1.3523,               0.009439,               0.009439,               0.009439
                     88,                0.88682,                0.42483,                  0.867,                0.83625,                0.77895,                0.81174,                0.36819,                  1.979,                0.91438,                 1.3595,              0.0094324,              0.0094324,              0.0094324
                     89,                0.87549,                0.42029,                0.86704,                0.86312,                0.76567,                0.82435,                0.37832,                 1.9238,                0.98332,                  1.336,              0.0094258,              0.0094258,              0.0094258
